"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"556",136,0,-1,4,1,0.668995849003217,-1.18670152125669,-1.14910098574165,-0.444589911998177,-1.98337616640689,-0.551700591609657,-1.83894731754419,-0.677748404400919,-1.67756748356008,0,0,0,-1.16687212018072
"557",137,0,0,4,1,0.578215164340524,-0.0390900685136366,-0.13199373557865,0.554543513958148,-0.663140797733796,0.462726704073963,-0.55768971762674,0.355471151492456,-0.43818127288391,1,1,0.996,-0.0375942914179194
"558",138,0,1,4,1,0.611045815984086,1.34145689267147,0.928649393736854,1.84902303727958,0.710482613589752,1.75698406163756,0.802452292246766,1.65141850966952,0.908322089103036,0,0,0,1.27972833654059
"559",139,0,2,4,1,0.728711736425913,2.41323577237169,1.89833923933353,3.02615196123155,1.66371831986401,2.90773936492731,1.76632855358716,2.77353553891021,1.88554819589507,0,0,0,2.32502907070566
"560",140,0,3,4,1,0.59245608126345,2.90729376390005,2.817975549603,3.74191919415152,2.20934524481868,3.60411612477873,2.32121074726656,3.44959475130291,2.45207531978291,0,0,0,2.94349478549355
"561",1,1,-3,1,0.1,0.436633409370081,-2.61067424430147,-2.40661574551936,-0.636221792816273,-4.86451085810038,-0.877141012506505,-4.41141786406728,-1.17140008393802,-3.91099181444951,0,0,0,-2.47265311061457
"562",2,1,-2,1,0.1,0.810735515488689,-2.61067424430147,-1.92438708346364,-0.325210419586502,-4.14277967054785,-0.551454147445386,-3.73786050578972,-0.824557687329548,-3.29372535459037,0,0,0,-2.00269780538438
"563",3,1,-1,1,0.1,0.752272716025691,-0.641158423794436,-1.14910098574165,0.316188614258622,-2.81882041427433,0.11286261252289,-2.49975424416245,-0.126753964558607,-2.14674977196513,0,0,0,-1.1021349479892
"564",4,1,0,1,0.1,0.587742138111681,0.0496509638937835,-0.13199373557865,1.13911656534236,-1.49531703609891,0.946789021542856,-1.24705824335636,0.724703820213799,-0.972573617554424,0.016,0.032,0.084,-0.108055474316897
"565",5,1,1,1,0.1,0.717337944550777,1.52471634493595,0.928649393736854,2.20963951800854,-0.247714679773536,2.00803856219495,-0.0403347593748481,1.78029411128542,0.193800089858288,0.348,0.5,0.66,0.988492428523987
"566",6,1,2,1,0.1,1.09785423250118,2.92045560874479,1.89833923933353,3.36538890361139,0.696156872474574,3.12156705445668,0.897959770756068,2.85218259747336,1.13065665358259,0.876,0.934,0.968,1.97996703648392
"567",7,1,3,1,0.1,0.599467286747204,2.70522743686692,2.817975549603,4.49961292137884,1.38689459543104,4.19572327636732,1.60021412119769,3.85941530270422,1.85082636916837,0.996,1,1,2.8294888136621
"568",8,1,-3,2,0.1,0.710089693905469,-3.11586543050954,-2.40661574551936,-0.717116458315939,-4.90966447490992,-0.955194371590077,-4.45834659217481,-1.24503262582116,-3.96106169397783,0,0,0,-2.53457542277703
"569",9,1,-2,2,0.1,1.19186967540721,-3.11586543050954,-1.92438708346364,-0.420207822039885,-4.20025749747388,-0.641763783427239,-3.79638799333476,-0.91021009287247,-3.35460932017228,0,0,0,-2.07557388297513
"570",10,1,-1,2,0.1,0.726401582729828,-1.49565837058307,-1.14910098574165,0.195776181286371,-2.90062824606487,-0.00271951775571877,-2.5820000808844,-0.238430553689239,-2.23148046432399,0,0,0,-1.19966516266107
"571",11,1,0,2,0.1,0.692015079971306,-0.562447819709942,-0.13199373557865,1.0166122439211,-1.53881089162334,0.832323132312062,-1.29725766169366,0.618065517775627,-1.02986853741438,0.012,0.02,0.062,-0.189458668367648
"572",12,1,1,2,0.1,0.566583831707034,1.24589694018786,0.928649393736854,2.15019732207247,-0.198826927663383,1.9578344625984,-0.00099148320652264,1.73996597690796,0.222676926042976,0.37,0.52,0.682,0.983204255204323
"573",13,1,2,2,0.1,1.09434532971908,2.91641464096132,1.89833923933353,3.37673898121154,0.793864641002278,3.14125811383818,0.989380499463759,2.88034632840875,1.21331275095808,0.918,0.96,0.992,2.03567330680115
"574",14,1,3,2,0.1,0.601466469638368,3.00862154393426,2.817975549603,4.48907715551577,1.46393829355491,4.19207503426152,1.67022743208099,3.86580013436903,1.91285180583602,0.998,1,1,2.86423496367725
"575",15,1,-3,3,0.1,1.13724088436836,-3.54385662988772,-2.40661574551936,-0.822348048320493,-4.97380645500268,-1.05698331343569,-4.52523484507218,-1.34297652082702,-4.03164228466876,0,0,0,-2.61945358675321
