"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"75",75,-3,1,3,0.5,0.710215485503793,0.690950292141736,0.862288797940845,1.8191279847539,-0.232853047252427,1.65016047658104,-0.0643932813897134,1.45736890195972,0.128941360784506,0,0,0,0.793076717602323
"76",76,-3,2,3,0.5,0.681384692474314,1.77759695952896,1.82329242797051,3.01635725178591,0.772902215462014,2.80774582511976,0.937658900933741,2.57645718883345,1.12669875509844,0,0,0,1.839497164899
"77",77,-3,3,3,0.5,0.636847482562999,2.44225647754035,2.56837663533737,4.00069043730667,1.38382045302831,3.74055099417177,1.55831467731006,3.45444462309305,1.76454951128761,0,0,0,2.58438121931322
"78",78,-3,-3,4,0.5,0.371939841972426,-2.36595694438079,-2.00610207064601,-0.797208942207516,-4.43305468776839,-1.00373085379063,-4.03414801113574,-1.2548995735364,-3.59851596012394,0.998,1,1,-2.36895069958677
"79",79,-3,-2,4,0.5,0.757022101873337,-1.36966313525823,-1.7107407814552,-0.27346650612472,-3.10579761266037,-0.449514783930059,-2.80831165661112,-0.659382560740731,-2.48293787605319,0.914,0.944,0.994,-1.53620309787863
"80",80,-3,-1,4,0.5,1.05455148635898,-0.279940201904151,-1.15396297347543,0.487959189695152,-1.6710428042381,0.335902603704017,-1.46602413190096,0.157401088079325,-1.23860368837306,0,0.008,0.348,-0.526411789651837
"81",81,-3,0,4,0.5,0.918339716849799,0.384335888367395,-0.240252588066083,1.15560636738373,-0.772709153953669,1.00793606595551,-0.60405502586935,0.837321674277124,-0.412988364052677,0,0,0,0.218340387343804
"82",82,-3,1,4,0.5,0.752372900802019,0.550635120131627,0.862288797940845,1.61270244701092,-0.259510088388475,1.46130065593185,-0.104665089621586,1.28798121543715,0.072591361186036,0,0,0,0.681401629786373
"83",83,-3,2,4,0.5,0.698465099442264,1.54189096130707,1.82329242797051,2.69666751445984,0.708433739647762,2.518098048911,0.856765226783639,2.31888611451584,1.03017977393023,0,0,0,1.66587335513443
"84",84,-3,3,4,0.5,0.663016178575752,2.21656687101316,2.56837663533737,3.62566123806402,1.33600227375715,3.40333628959022,1.49312632213077,3.15889631386453,1.67769043314473,0,0,0,2.40028779567641
